time,event,Freq
2017-04-05 00:00:00,alfresco,7
2017-04-05 00:00:01,alfresco,1
2017-04-05 00:00:02,alfresco,5
2017-04-05 00:00:43,Fire,1
2017-04-05 00:00:48,access,3
2017-04-05 00:00:49,access,2
2017-04-05 00:00:49,svn,1
2017-04-05 00:01:27,Fire,2
2017-04-05 00:01:29,Fire,1
2017-04-05 00:01:30,Fire,3
2017-04-05 00:01:31,access,1
2017-04-05 00:01:32,access,2
2017-04-05 00:01:32,svn,1
2017-04-05 00:01:33,access,6
2017-04-05 00:01:33,svn,1
2017-04-05 00:01:34,access,6
2017-04-05 00:01:34,svn,1
2017-04-05 00:01:35,access,4
2017-04-05 00:01:35,svn,1
2017-04-05 00:01:36,access,13
2017-04-05 00:03:12,httpdacc,1
2017-04-05 00:03:46,ldap,330
2017-04-05 00:05:40,httpdacc,1
2017-04-05 00:07:46,Fire,1
2017-04-05 00:07:52,access,1
2017-04-05 00:08:12,httpdacc,1
2017-04-05 00:08:42,Fire,1
2017-04-05 00:08:43,access,1
2017-04-05 00:08:46,ldap,330
2017-04-05 00:10:37,redmine,3
2017-04-05 00:10:38,redmine,3
2017-04-05 00:10:44,Fire,1
2017-04-05 00:10:46,Fire,1
2017-04-05 00:10:50,access,1
2017-04-05 00:10:52,access,1
2017-04-05 00:12:12,access,9
2017-04-05 00:12:12,svn,1
2017-04-05 00:12:15,Fire,2
2017-04-05 00:12:21,access,1
2017-04-05 00:12:22,access,1
2017-04-05 00:12:29,ldap,436
2017-04-05 00:12:57,ldap,203
2017-04-05 00:13:11,httpdacc,1
2017-04-05 00:13:16,ldap,244
2017-04-05 00:13:17,ldap,192
2017-04-05 00:13:30,ldap,315
2017-04-05 00:15:18,ldap,751
2017-04-05 00:18:11,httpdacc,1
2017-04-05 00:18:46,ldap,330
2017-04-05 00:20:41,httpdacc,1
2017-04-05 00:22:48,Fire,1
2017-04-05 00:22:54,access,1
2017-04-05 00:23:11,httpdacc,1
2017-04-05 00:23:46,ldap,330
2017-04-05 00:27:00,ldap,357
2017-04-05 00:27:16,Fire,2
2017-04-05 00:27:22,access,2
2017-04-05 00:28:11,httpdacc,1
2017-04-05 00:28:41,Fire,1
2017-04-05 00:28:46,ldap,330
2017-04-05 00:29:12,access,4
2017-04-05 00:30:12,access,9
2017-04-05 00:30:12,svn,1
2017-04-05 00:31:23,access,1
2017-04-05 00:31:28,Fire,1
2017-04-05 00:32:14,ldap,210
2017-04-05 00:32:15,ldap,170
2017-04-05 00:33:11,httpdacc,1
2017-04-05 00:33:46,ldap,330
2017-04-05 00:34:47,ldap,381
2017-04-05 00:35:42,httpdacc,1
2017-04-05 00:37:49,Fire,1
2017-04-05 00:37:54,access,1
2017-04-05 00:38:11,httpdacc,1
2017-04-05 00:38:46,ldap,330
2017-04-05 00:42:15,Fire,1
2017-04-05 00:42:16,Fire,1
2017-04-05 00:42:22,access,2
2017-04-05 00:43:11,httpdacc,1
2017-04-05 00:43:46,ldap,330
2017-04-05 00:48:11,httpdacc,1
2017-04-05 00:48:46,ldap,330
2017-04-05 00:50:44,httpdacc,1
2017-04-05 00:52:50,Fire,1
2017-04-05 00:52:56,access,1
2017-04-05 00:53:11,httpdacc,1
2017-04-05 00:53:46,ldap,330
2017-04-05 00:57:16,Fire,2
2017-04-05 00:57:22,access,2
2017-04-05 00:58:11,httpdacc,1
2017-04-05 00:58:46,ldap,330
2017-04-05 00:59:58,ldap,230
2017-04-05 00:59:59,ldap,521
2017-04-05 01:00:00,alfresco,7
2017-04-05 01:00:01,alfresco,1
2017-04-05 01:00:02,alfresco,5
2017-04-05 01:03:11,httpdacc,1
2017-04-05 01:03:28,Fire,1
2017-04-05 01:03:46,ldap,330
2017-04-05 01:05:52,httpdacc,1
2017-04-05 01:07:51,Fire,1
2017-04-05 01:07:57,access,1
2017-04-05 01:08:11,httpdacc,1
2017-04-05 01:08:46,ldap,330
2017-04-05 01:12:12,access,9
2017-04-05 01:12:12,svn,1
2017-04-05 01:12:15,Fire,2
2017-04-05 01:12:21,access,1
2017-04-05 01:12:22,access,1
2017-04-05 01:13:11,httpdacc,1
2017-04-05 01:13:46,ldap,330
2017-04-05 01:18:11,httpdacc,1
